model_name,dataset_name,mitigation,sensitive_col,accuracy,demographic_parity_difference,equalized_odds_difference,disparate_impact_ratio,accuracy_by_group,target
xgboost,compas,reject_option_classification,sex_Male,0.668052668052668,0.023025556271190517,0.03157016364563536,0.9613061657927923,"{0: 0.6901408450704225, 1: 0.6626402070750647}",is_recid
xgboost,compas,equalized_odds,sex_Male,0.6507276507276507,0.036107499179720226,0.0048985520683634265,0.9400319896664295,"{0: 0.6619718309859155, 1: 0.6479723899913719}",is_recid
xgboost,compas,calibrated_equalized_odds,sex_Male,0.647955647955648,0.4469370146678171,0.6037735849056604,0.5530629853321829,"{0: 0.6091549295774648, 1: 0.6574633304572908}",is_recid
adversarial_debiasing_nn,compas,adversarial_debiasing,sex_Male,0.6874566874566874,0.04485107365504504,0.03413533602212848,0.9311475409836065,"{0: 0.7323943661971831, 1: 0.6764452113891286}",is_recid
logreg,compas,none,sex_Male,0.6625086625086625,0.33097079037800686,0.3759157509157509,0.6295673076923076,"{0: 0.6941580756013745, 1: 0.6545138888888888}",two_year_recid
logreg,compas,reject_option_classification,sex_Male,0.6625086625086625,0.04512099083619703,0.011807063059247114,0.9100670662100456,"{0: 0.6597938144329897, 1: 0.6631944444444444}",two_year_recid
logreg,compas,equalized_odds,sex_Male,0.6001386001386001,0.022113044100801837,0.010333386279804457,0.9721433080808081,"{0: 0.6563573883161512, 1: 0.5859375}",two_year_recid
logreg,compas,calibrated_equalized_odds,sex_Male,0.6521136521136521,0.4375,0.5970695970695971,0.5625,"{0: 0.6426116838487973, 1: 0.6545138888888888}",two_year_recid
svc,compas,none,sex_Male,0.6791406791406791,0.21341638029782362,0.23443223443223438,0.7475440379403794,"{0: 0.7079037800687286, 1: 0.671875}",two_year_recid
svc,compas,reject_option_classification,sex_Male,0.6826056826056826,0.04845897766323021,0.02564102564102566,0.9189565373563218,"{0: 0.6804123711340206, 1: 0.6831597222222222}",two_year_recid
svc,compas,equalized_odds,sex_Male,0.6375606375606375,0.028296821305841907,0.043040293040293054,0.9638843201754387,"{0: 0.6597938144329897, 1: 0.6319444444444444}",two_year_recid
svc,compas,calibrated_equalized_odds,sex_Male,0.665973665973666,0.375,0.5494505494505495,0.625,"{0: 0.6426116838487973, 1: 0.671875}",two_year_recid
gbc,compas,none,sex_Male,0.6853776853776854,0.214168098510882,0.190018315018315,0.7230092592592593,"{0: 0.7250859106529209, 1: 0.6753472222222222}",two_year_recid
gbc,compas,reject_option_classification,sex_Male,0.6881496881496881,0.011025200458190165,0.03159340659340659,0.981873822975518,"{0: 0.697594501718213, 1: 0.6857638888888888}",two_year_recid
gbc,compas,equalized_odds,sex_Male,0.6534996534996536,0.03461483390607101,0.0068212703623303506,0.9488684433164128,"{0: 0.6838487972508591, 1: 0.6458333333333334}",two_year_recid
gbc,compas,calibrated_equalized_odds,sex_Male,0.6687456687456688,0.4409722222222222,0.6227106227106227,0.5590277777777778,"{0: 0.6426116838487973, 1: 0.6753472222222222}",two_year_recid
xgboost,compas,none,sex_Male,0.6735966735966736,0.13455756013745707,0.11080586080586086,0.8203841743119267,"{0: 0.7079037800687286, 1: 0.6649305555555556}",two_year_recid
xgboost,compas,reject_option_classification,sex_Male,0.6708246708246708,0.004402920962199297,0.03583593653482997,0.992373511904762,"{0: 0.6735395189003437, 1: 0.6701388888888888}",two_year_recid
xgboost,compas,equalized_odds,sex_Male,0.6528066528066528,0.03353200171821308,0.01053113553113555,0.9519319581280788,"{0: 0.6769759450171822, 1: 0.6467013888888888}",two_year_recid
xgboost,compas,calibrated_equalized_odds,sex_Male,0.6604296604296604,0.3854166666666667,0.5531135531135531,0.6145833333333334,"{0: 0.6426116838487973, 1: 0.6649305555555556}",two_year_recid
adversarial_debiasing_nn,compas,adversarial_debiasing,sex_Male,0.6729036729036729,0.04286583619702178,0.012442420712659497,0.9403159888357256,"{0: 0.711340206185567, 1: 0.6631944444444444}",two_year_recid
